One_of_top_3_CPC_for_PC,CPC Description,Device Type (PC) Description,PRODUCTCODE
A63B22/0605,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- SPORTS; GAMES; AMUSEMENTS-- APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT (apparatus for passive exercising, massage A61H)-- Gymnastic exercising apparatus (training apparatus for special sports A63B69/00; apparatus for passive exercising, massage A61H); Horizontal bars-- Exercising apparatus specially adapted for conditioning the cardio-vascular system, for training agility or co-ordination of movements (force-resisting aspects A63B21/00; {for particular parts of the body, e.g. to strengthen particular limbs or muscles A63B23/00; };  electric or electronic controls therefor A63B24/00)-- .with {support elements performing a};  rotating cycling movement, {i.e. a closed path movement}(support stands for bicycles A63B69/16; unicycles B62K1/00)-- ..performing a circular movement, e.g. ergometers","Powered exercise equipment. --Exerciser, Powered",BXB
A61M1/90,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)-- .Negative pressure wound therapy devices, i.e. devices for applying suction to a wound to promote healing, e.g. including a vacuum dressing","Gas pressure gauge. --Gauge, Gas Pressure, Cylinder/Pipeline",BXH
A61M1/0088,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Not Currently Available","Gas pressure gauge. --Gauge, Gas Pressure, Cylinder/Pipeline",BXH
A61M2205/3331,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- General characteristics of the apparatus-- .Controlling, regulating or measuring-- ..Pressure; Flow","Gas pressure gauge. --Gauge, Gas Pressure, Cylinder/Pipeline",BXH
G21F5/00,"PHYSICS-- NUCLEONICS; NUCLEAR PHYSICS; NUCLEAR ENGINEERING-- PROTECTION AGAINST X-RADIATION, GAMMA RADIATION, CORPUSCULAR RADIATION OR PARTICLE BOMBARDMENT; TREATING RADIOACTIVELY CONTAMINATED MATERIAL; DECONTAMINATION ARRANGEMENTS THEREFOR (radiation protection by pharmaceutical means A61K8/00, A61Q17/04; in cosmonautic vehicles B64G1/54; combined with a reactor G21C11/00; combined with X-ray tubes H01J35/16; combined with X-ray apparatus H05G1/02)-- Transportable or portable shielded containers","Gas pressure calibrator. --Calibrator, Pressure, Gas",BXX
A61J1/16,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE-- Containers specially adapted for medical or pharmaceutical purposes (capsules or the like for oral use A61J3/07; specially adapted for surgical or diagnostic appliances or instruments A61B50/00; {antithrombogenic treatment of articles for conditioning blood A61L33/00; devices for introducing media into or onto the body A61M;};  containers for radioactive substances G21F5/00)-- .for collecting, storing or administering blood, plasma or medical fluids {multiple bags systems for separating or storing blood components A61M1/0209; ; Infusion or perfusion containers}-- ..Details {, e.g. provisions for hanging or shape retaining means}; Accessories therefor {, e.g. inlet or outlet ports, filters or caps}(A61J7/00 takes precedence; {plugs or stoppers B65D51/00;};  openers B65D, B67B7/00)-- ...Holders for containers","Gas pressure calibrator. --Calibrator, Pressure, Gas",BXX
Y10T29/49982,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS; GENERAL TAGGING OF CROSS-SECTIONAL TECHNOLOGIES SPANNING OVER SEVERAL SECTIONS OF THE IPC; TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS-- TECHNICAL SUBJECTS COVERED BY FORMER USPC-- TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION-- Former US Class 29 Series; Metal working-- .Method of mechanical manufacture-- ..Combined manufacture including applying or shaping of fluent material-- ...Coating,"Gas pressure calibrator. --Calibrator, Pressure, Gas",BXX
A61G13/101,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Operating tables or chairs; Dental chairs; Operating tables; Auxiliary appliances therefor (illumination of operating tables F21L, F21S or F21V{; adjustability of tables in general A47B9/00; tables for radiation diagnosis A61B6/04, drainage or irrigation pans, bags, or attachments A61G7/02, A61G7/0503})-- .Parts, details or accessories (surgical drape sheets A61B46/00)-- ..Clamping means for connecting accessories to the operating table (supports as part of surgical instruments A61B90/50)","Traction accessory. --Accessories, Traction",ILZ
A63C17/14,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- SPORTS; GAMES; AMUSEMENTS-- SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE (water skis B63B32/00, B63B34/00)-- Roller skates; Skate-boards-- .with brakes, e.g. toe stoppers, freewheel roller clutches","Traction accessory. --Accessories, Traction",ILZ
B62K23/06,"PERFORMING OPERATIONS; TRANSPORTING-- TRANSPORTING; VEHICLES IN GENERAL-- LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS-- CYCLES; CYCLE FRAMES; CYCLE STEERING DEVICES; RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES; CYCLE AXLE SUSPENSIONS; CYCLE SIDE-CARS, FORECARS, OR THE LIKE-- Rider-operated controls specially adapted for cycles, i.e. means for initiating control operations, e.g. levers, grips (specially adapted to cycle brake mechanisms B62L3/00)-- .hand actuated (arrangements of controls on handle-bars of engine-driven cycles B62K11/14)-- ..Levers","Traction accessory. --Accessories, Traction",ILZ
A61M1/3696,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)-- .Other treatment of blood in a by-pass of the natural circulatory system, e.g. temperature adaptation, irradiation {; Extra-corporeal blood circuits}-- ..using separation based on different densities of components, e.g. centrifuging-- ...with means for adding or withdrawing liquid substances during the centrifugation, e.g. continuous centrifugation","Hematocrit measuring device. --Centrifuge, Hematocrit",GKG
A61M1/3693,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)-- .Other treatment of blood in a by-pass of the natural circulatory system, e.g. temperature adaptation, irradiation {; Extra-corporeal blood circuits}-- ..using separation based on different densities of components, e.g. centrifuging","Hematocrit measuring device. --Centrifuge, Hematocrit",GKG
B04B5/0442,"PERFORMING OPERATIONS; TRANSPORTING-- SEPARATING; MIXING; PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL-- CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES-- CENTRIFUGES (high-speed drum mills B02C19/11; domestic spin driers D06F; analysing, measuring or monitoring physical or chemical properties of samples during centrifuging, see the relevant subclasses for these procedures, e.g. G01N)-- Types of centrifuges; Centrifuges characterised by discharging means; Centrifuges with rotary bowls provided with solid jackets for separating predominantly liquid mixtures with or without solid particles-- Other centrifuges-- .Radial chamber apparatus for separating predominantly liquid mixtures, e.g. butyrometers-- ..with means for adding or withdrawing liquid substances during the centrifugation, e.g. continuous centrifugation","Hematocrit measuring device. --Centrifuge, Hematocrit",GKG
A61N1/36038,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)-- Electrotherapy; Circuits therefor (A61N2/00 takes precedence; irradiation apparatus A61N5/00)-- .Applying electric currents by contact electrodes-- ..alternating or intermittent currents {applying electric fields by inductive or capacitive coupling A61N1/40; microwave apparatus A61N5/02}-- ...for stimulation-- ....of the outer, middle or inner ear-- .....Cochlear stimulation","Signal isolation system. --System, Signal Isolation",DRJ
A61B18/1206,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body (eye surgery A61F9/007; ear surgery A61F11/00)-- .by heating (by applying electromagnetic radiation A61B18/18; hyperthermia using electric or magnetic fields, radiation or ultrasound A61N)-- ..by passing a current through the tissue to be heated, e.g. high-frequency current-- ...Generators therefor","Signal isolation system. --System, Signal Isolation",DRJ
A61B5/055,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Detecting, measuring or recordingfor diagnosis by means of electric currents or magnetic fields; Measuring using microwaves or radio waves (impedance plethysmographyA61B5/0295; measuring movement of the entire body or parts thereofA61B5/11; detecting, measuring or recording bioelectric orbiomagneticsignals of the body or parts thereofA61B5/24)-- ..involving electronic [EMR] or nuclear [NMR] magnetic resonance, e.g. magnetic resonance imaging","Signal isolation system. --System, Signal Isolation",DRJ
